GEO_ID,County,Mean Income
0500000US01001,"Autauga County, Alabama",75515
0500000US01003,"Baldwin County, Alabama",77212
0500000US01005,"Barbour County, Alabama",47909
0500000US01007,"Bibb County, Alabama",58529
0500000US01009,"Blount County, Alabama",60646
0500000US01011,"Bullock County, Alabama",45516
0500000US01013,"Butler County, Alabama",52630
0500000US01015,"Calhoun County, Alabama",61653
0500000US01017,"Chambers County, Alabama",53553
0500000US01019,"Cherokee County, Alabama",55611
0500000US01021,"Chilton County, Alabama",62771
0500000US01023,"Choctaw County, Alabama",52247
0500000US01025,"Clarke County, Alabama",51892
0500000US01027,"Clay County, Alabama",56739
0500000US01029,"Cleburne County, Alabama",54871
0500000US01031,"Coffee County, Alabama",69305
0500000US01033,"Colbert County, Alabama",59835
0500000US01035,"Conecuh County, Alabama",41773
0500000US01037,"Coosa County, Alabama",55936
0500000US01039,"Covington County, Alabama",55315
0500000US01041,"Crenshaw County, Alabama",58669
0500000US01043,"Cullman County, Alabama",58564
0500000US01045,"Dale County, Alabama",59184
0500000US01047,"Dallas County, Alabama",46049
0500000US01049,"DeKalb County, Alabama",54158
0500000US01051,"Elmore County, Alabama",74630
0500000US01053,"Escambia County, Alabama",47508
0500000US01055,"Etowah County, Alabama",58953
0500000US01057,"Fayette County, Alabama",52024
0500000US01059,"Franklin County, Alabama",52295
0500000US01061,"Geneva County, Alabama",49724
0500000US01063,"Greene County, Alabama",33639
0500000US01065,"Hale County, Alabama",49368
0500000US01067,"Henry County, Alabama",59476
0500000US01069,"Houston County, Alabama",64926
0500000US01071,"Jackson County, Alabama",52230
0500000US01073,"Jefferson County, Alabama",75281
0500000US01075,"Lamar County, Alabama",51320
0500000US01077,"Lauderdale County, Alabama",64129
0500000US01079,"Lawrence County, Alabama",58594
0500000US01081,"Lee County, Alabama",69057
0500000US01083,"Limestone County, Alabama",74295
0500000US01085,"Lowndes County, Alabama",47366
0500000US01087,"Macon County, Alabama",48702
0500000US01089,"Madison County, Alabama",85952
0500000US01091,"Marengo County, Alabama",50946
0500000US01093,"Marion County, Alabama",50337
0500000US01095,"Marshall County, Alabama",61600
0500000US01097,"Mobile County, Alabama",63768
0500000US01099,"Monroe County, Alabama",45863
0500000US01101,"Montgomery County, Alabama",68306
0500000US01103,"Morgan County, Alabama",65068
0500000US01105,"Perry County, Alabama",33680
0500000US01107,"Pickens County, Alabama",54603
0500000US01109,"Pike County, Alabama",54193
0500000US01111,"Randolph County, Alabama",56137
0500000US01113,"Russell County, Alabama",53747
0500000US01115,"St. Clair County, Alabama",65756
0500000US01117,"Shelby County, Alabama",95835
0500000US01119,"Sumter County, Alabama",38126
0500000US01121,"Talladega County, Alabama",54898
0500000US01123,"Tallapoosa County, Alabama",56874
0500000US01125,"Tuscaloosa County, Alabama",69478
0500000US01127,"Walker County, Alabama",56961
0500000US01129,"Washington County, Alabama",54475
0500000US01131,"Wilcox County, Alabama",42007
0500000US01133,"Winston County, Alabama",51630
0500000US02013,"Aleutians East Borough, Alaska",81570
0500000US02016,"Aleutians West Census Area, Alaska",101440
0500000US02020,"Anchorage Municipality, Alaska",106840
0500000US02050,"Bethel Census Area, Alaska",70334
0500000US02060,"Bristol Bay Borough, Alaska",99525
0500000US02068,"Denali Borough, Alaska",91022
0500000US02070,"Dillingham Census Area, Alaska",72873
